"month","weather","weather1","weather2","weather3"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Rain","Fine","Fine","Cloudy"
6,"Rain","Rain","Fine","Fine"
7,"Rain","Rain","Rain","Fine"
7,"Cloudy","Rain","Rain","Rain"
7,"Rain","Cloudy","Rain","Rain"
7,"Rain","Rain","Cloudy","Rain"
7,"Cloudy","Rain","Rain","Cloudy"
7,"Fine","Cloudy","Rain","Rain"
7,"Fine","Fine","Cloudy","Rain"
7,"Fine","Fine","Fine","Cloudy"
7,"Rain","Fine","Fine","Fine"
7,"Cloudy","Rain","Fine","Fine"
7,"Cloudy","Cloudy","Rain","Fine"
7,"Fine","Cloudy","Cloudy","Rain"
7,"Rain","Fine","Cloudy","Cloudy"
7,"Fine","Rain","Fine","Cloudy"
7,"Fine","Fine","Rain","Fine"
7,"Fine","Fine","Fine","Rain"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Cloudy","Fine","Fine","Fine"
7,"Fine","Cloudy","Fine","Fine"
7,"Fine","Fine","Cloudy","Fine"
8,"Cloudy","Fine","Fine","Cloudy"
8,"Fine","Cloudy","Fine","Fine"
8,"Fine","Fine","Cloudy","Fine"
8,"Fine","Fine","Fine","Cloudy"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Rain","Fine","Fine","Fine"
8,"Fine","Rain","Fine","Fine"
8,"Fine","Fine","Rain","Fine"
8,"Fine","Fine","Fine","Rain"
8,"Fine","Fine","Fine","Fine"
8,"Rain","Fine","Fine","Fine"
8,"Fine","Rain","Fine","Fine"
8,"Fine","Fine","Rain","Fine"
8,"Fine","Fine","Fine","Rain"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Rain","Fine","Fine","Fine"
8,"Fine","Rain","Fine","Fine"
8,"Cloudy","Fine","Rain","Fine"
8,"Fine","Cloudy","Fine","Rain"
8,"Fine","Fine","Cloudy","Fine"
8,"Fine","Fine","Fine","Cloudy"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Rain","Fine","Fine","Fine"
9,"Rain","Rain","Fine","Fine"
9,"Rain","Rain","Rain","Fine"
9,"Fine","Rain","Rain","Rain"
9,"Fine","Fine","Rain","Rain"
9,"Fine","Fine","Fine","Rain"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Cloudy","Fine","Fine","Fine"
9,"Fine","Cloudy","Fine","Fine"
9,"Fine","Fine","Cloudy","Fine"
9,"Fine","Fine","Fine","Cloudy"
9,"Fine","Fine","Fine","Fine"
9,"Cloudy","Fine","Fine","Fine"
9,"Cloudy","Cloudy","Fine","Fine"
9,"Cloudy","Cloudy","Cloudy","Fine"
